StoreNum,PLU,Dept,SubDept,Category,Item,Retail,TPR,Sale
009,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
016,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
017,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
018,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
020,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
021,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
022,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
023,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
024,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
016,0000000000851,58,5108,,ISLA MAR MILKFISH,3.99,NULL,NULL
008,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
009,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
016,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
017,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
018,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
020,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
021,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
,
2,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
3,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
6,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
9,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
10,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
11,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
12,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
14,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
17,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
18,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
19,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
20,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
21,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
22,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
24,0000000000001,95,9985,,"CUSTOMER ",0.00,NULL,NULL
2,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
3,0000000000003,31,9980,,"TICKETS ARNEL PINEDA ",0.00,NULL,NULL
